epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,822.139,1.65689,0.74423,1.14215,0.94287,0.96154,0.94231,0.37378,2.10614,0.80351,1.33551,0.000742815,0.000742815,0.000742815
58,832.121,1.69595,0.74865,1.13704,0.96137,0.99966,0.995,0.407,2.07011,0.82182,1.31809,0.000726312,0.000726312,0.000726312
59,842.164,1.66803,0.74506,1.08757,0.9535,0.96154,0.9925,0.41771,2.07632,0.82154,1.3483,0.000709809,0.000709809,0.000709809
60,852.247,1.68554,0.74169,1.1192,0.92449,0.96154,0.93615,0.38197,2.10043,0.82019,1.36119,0.000693305,0.000693305,0.000693305
61,862.363,1.63826,0.74894,1.12575,0.92565,0.96154,0.93346,0.37104,2.10292,0.82121,1.34894,0.000676802,0.000676802,0.000676802
62,872.742,1.59055,0.72205,1.10845,0.93009,0.95163,0.92731,0.3878,2.06529,0.8072,1.33238,0.000660299,0.000660299,0.000660299
63,882.938,1.5714,0.72793,1.1089,0.95594,0.96154,0.92731,0.4094,1.99575,0.7699,1.30126,0.000643795,0.000643795,0.000643795
64,893.328,1.63784,0.74919,1.11403,0.92668,0.94695,0.9222,0.44332,1.96624,0.75359,1.28078,0.000627292,0.000627292,0.000627292
65,903.181,1.54208,0.7254,1.07857,0.95419,0.97778,0.9925,0.42714,1.97496,0.74926,1.28092,0.000610789,0.000610789,0.000610789
66,913.276,1.61729,0.70487,1.0849,0.95833,0.98439,0.9925,0.43497,1.92909,0.72624,1.26419,0.000594286,0.000594286,0.000594286
67,923.003,1.66593,0.71495,1.12142,0.99126,0.9934,0.995,0.41548,2.00918,0.7716,1.29624,0.000577782,0.000577782,0.000577782
68,932.985,1.57595,0.69156,1.11697,0.94625,0.957,0.94231,0.41359,2.06996,0.78318,1.31177,0.000561279,0.000561279,0.000561279
69,943.087,1.59866,0.70103,1.09901,0.94512,0.95748,0.945,0.45072,1.9804,0.75091,1.2843,0.000544776,0.000544776,0.000544776
70,953.512,1.54965,0.68001,1.06195,0.97572,0.97737,0.995,0.42903,2.02684,0.77498,1.31601,0.000528272,0.000528272,0.000528272
71,963.882,1.58412,0.72428,1.10392,0.95334,0.99408,0.995,0.43638,2.0043,0.77481,1.30461,0.000511769,0.000511769,0.000511769
72,974.141,1.51755,0.66455,1.04174,0.95786,0.99678,0.995,0.45303,1.97995,0.77975,1.30552,0.000495266,0.000495266,0.000495266
73,985.047,1.55167,0.68912,1.03098,0.98369,0.9935,0.995,0.45237,1.97046,0.7322,1.30237,0.000478762,0.000478762,0.000478762
74,994.923,1.6101,0.67605,1.08558,0.95859,1,0.995,0.45987,1.95574,0.71899,1.30206,0.000462259,0.000462259,0.000462259
75,1005.32,1.53583,0.66415,1.07527,0.92844,1,0.995,0.43509,2.03651,0.71834,1.35091,0.000445756,0.000445756,0.000445756
76,1015.46,1.57284,0.69113,1.07259,0.92218,1,0.995,0.45519,1.92455,0.7314,1.29732,0.000429253,0.000429253,0.000429253
77,1025.52,1.60842,0.68537,1.09809,0.92459,0.98792,0.9925,0.45823,1.87661,0.75348,1.26911,0.000412749,0.000412749,0.000412749
78,1035.48,1.5092,0.67398,1.09301,0.98594,0.93932,0.9925,0.43028,1.98962,0.79821,1.29631,0.000396246,0.000396246,0.000396246
79,1045.55,1.42742,0.62515,1.04956,0.93552,0.95599,0.94808,0.4132,2.10066,0.81484,1.33895,0.000379743,0.000379743,0.000379743
80,1056.07,1.44314,0.65851,1.04918,0.94524,0.96154,0.94808,0.41526,2.02385,0.77347,1.3041,0.000363239,0.000363239,0.000363239
81,1066.09,1.53116,0.67868,1.0754,0.98495,0.99567,0.995,0.44557,2.01407,0.74254,1.30961,0.000346736,0.000346736,0.000346736
82,1076.3,1.44999,0.64442,1.03067,0.98753,1,0.995,0.44699,2.01254,0.74733,1.31648,0.000330233,0.000330233,0.000330233
83,1086.5,1.39982,0.64406,1.0313,0.98335,1,0.995,0.45848,1.97552,0.75175,1.3173,0.000313729,0.000313729,0.000313729
84,1097.22,1.43908,0.62121,1.00033,0.94741,0.96154,0.92442,0.46564,1.91051,0.69744,1.304,0.000297226,0.000297226,0.000297226
85,1107.43,1.45367,0.63381,1.05334,0.94692,0.96154,0.92442,0.45486,1.92116,0.69036,1.30929,0.000280723,0.000280723,0.000280723
86,1117.71,1.44248,0.60157,1.08034,0.94725,0.96154,0.94808,0.4405,1.97117,0.71471,1.33815,0.00026422,0.00026422,0.00026422
87,1127.94,1.48867,0.64773,1.06382,0.95527,0.96154,0.94231,0.42168,2.02147,0.74723,1.36739,0.000247716,0.000247716,0.000247716
88,1138.07,1.35444,0.59302,1.02073,0.94969,0.96154,0.94231,0.42174,2.0247,0.75161,1.36706,0.000231213,0.000231213,0.000231213
89,1148.2,1.45886,0.63839,1.05654,0.98857,1,0.995,0.43521,2.02126,0.7375,1.36464,0.00021471,0.00021471,0.00021471
90,1158.06,1.34462,0.58575,0.99096,0.98614,1,0.995,0.4281,2.04424,0.73936,1.37567,0.000198206,0.000198206,0.000198206
91,1193.29,1.326,0.58994,1.07002,0.98438,0.99843,0.995,0.41798,2.02241,0.72505,1.36706,0.000181703,0.000181703,0.000181703
92,1203.53,1.33624,0.59555,1.05185,0.97973,0.99583,0.995,0.41548,2.04767,0.73265,1.35382,0.0001652,0.0001652,0.0001652
93,1213.62,1.35878,0.58869,1.06477,0.97569,0.99415,0.995,0.40529,2.04946,0.72712,1.35609,0.000148696,0.000148696,0.000148696
94,1224.43,1.28692,0.57871,1.02005,0.97319,0.98684,0.995,0.40286,2.0746,0.71841,1.37197,0.000132193,0.000132193,0.000132193
95,1234.41,1.31986,0.58033,1.06372,0.98098,0.96923,0.995,0.40587,2.05434,0.70626,1.37315,0.00011569,0.00011569,0.00011569
96,1244.59,1.32838,0.57498,1.08139,0.98115,0.96795,0.995,0.40363,2.04298,0.70228,1.37399,9.91865e-05,9.91865e-05,9.91865e-05
97,1254.52,1.33583,0.58148,1.03915,0.98248,0.96866,0.995,0.39936,2.04229,0.70431,1.37544,8.26832e-05,8.26832e-05,8.26832e-05
98,1264.47,1.28814,0.56733,0.99616,0.9842,0.96966,0.995,0.39826,2.03603,0.7069,1.36996,6.61799e-05,6.61799e-05,6.61799e-05
99,1275.01,1.25307,0.56847,1.02889,0.98096,0.97003,0.995,0.4055,2.02852,0.70632,1.36249,4.96766e-05,4.96766e-05,4.96766e-05
100,1285.2,1.27559,0.56719,1.03819,0.98002,0.97023,0.995,0.40779,2.01806,0.70157,1.35013,3.31733e-05,3.31733e-05,3.31733e-05
