epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,849.006,1.79189,0.83345,1.16806,0.94932,0.96154,0.97959,0.38357,2.1369,0.87666,1.36603,0.000660299,0.000660299,0.000660299
63,862.251,1.81673,0.8014,1.21436,0.92016,0.9344,0.96657,0.38503,2.19065,0.89122,1.37089,0.000643795,0.000643795,0.000643795
64,875.467,1.74089,0.82259,1.1533,0.9143,0.92308,0.94156,0.38733,2.14834,0.87977,1.35074,0.000627292,0.000627292,0.000627292
65,888.823,1.75863,0.83006,1.14039,0.94209,0.96154,0.95365,0.41786,2.07748,0.81256,1.32002,0.000610789,0.000610789,0.000610789
66,900.967,1.70105,0.80073,1.12087,0.93989,0.96154,0.96051,0.39181,2.0642,0.81459,1.32863,0.000594286,0.000594286,0.000594286
67,913.998,1.76065,0.80673,1.13826,0.90118,0.92308,0.90348,0.3605,2.13561,0.82247,1.35423,0.000577782,0.000577782,0.000577782
68,926.738,1.64653,0.7703,1.1356,0.83183,0.84615,0.82735,0.34186,2.29234,0.82331,1.41341,0.000561279,0.000561279,0.000561279
69,939.83,1.6537,0.76528,1.15382,0.90666,0.92308,0.89014,0.36218,2.19167,0.78906,1.3574,0.000544776,0.000544776,0.000544776
70,952.772,1.70496,0.76876,1.10831,0.93711,0.96154,0.9739,0.42078,2.02933,0.75517,1.29233,0.000528272,0.000528272,0.000528272
71,965.803,1.68954,0.75663,1.10799,0.93339,0.96154,0.9776,0.4008,2.03107,0.78314,1.28143,0.000511769,0.000511769,0.000511769
72,978.784,1.70263,0.773,1.1004,0.94136,0.96154,0.9707,0.39086,2.10353,0.78692,1.30641,0.000495266,0.000495266,0.000495266
73,991.573,1.59366,0.73473,1.09078,0.94725,0.96154,0.97071,0.41181,2.07985,0.75452,1.31153,0.000478762,0.000478762,0.000478762
74,1004.14,1.68109,0.78115,1.10794,0.94927,0.96154,0.97317,0.44231,2.03743,0.75594,1.29505,0.000462259,0.000462259,0.000462259
75,1016.99,1.5623,0.72908,1.11302,0.94679,0.96154,0.97261,0.41528,2.08477,0.76266,1.31588,0.000445756,0.000445756,0.000445756
76,1029.77,1.66576,0.77426,1.13445,0.94189,0.96154,0.95968,0.38034,2.23129,0.76911,1.3877,0.000429253,0.000429253,0.000429253
77,1043.07,1.63486,0.76291,1.1098,0.94574,0.96154,0.95764,0.38147,2.24077,0.75735,1.37915,0.000412749,0.000412749,0.000412749
78,1055.34,1.66501,0.75223,1.09909,0.94976,0.96154,0.94231,0.38089,2.07405,0.73006,1.29064,0.000396246,0.000396246,0.000396246
79,1068.78,1.65379,0.76319,1.11376,0.95093,0.96154,0.94808,0.40051,2.05961,0.72929,1.30021,0.000379743,0.000379743,0.000379743
80,1081.98,1.61429,0.72486,1.12141,0.94826,0.96154,0.95115,0.39804,2.10977,0.73074,1.33405,0.000363239,0.000363239,0.000363239
81,1095.17,1.56118,0.72645,1.10114,0.94988,0.96154,0.95115,0.37963,2.18493,0.76824,1.38913,0.000346736,0.000346736,0.000346736
82,1107.94,1.64651,0.73749,1.1059,0.94841,0.96154,0.94231,0.38896,2.1351,0.75258,1.36278,0.000330233,0.000330233,0.000330233
83,1120.65,1.57953,0.72344,1.08968,0.95534,0.96154,0.93346,0.4002,2.09595,0.72767,1.32874,0.000313729,0.000313729,0.000313729
84,1133.74,1.59977,0.73958,1.11482,0.95517,0.96154,0.93881,0.3729,2.12583,0.7374,1.34554,0.000297226,0.000297226,0.000297226
85,1146.82,1.66013,0.71134,1.10327,0.95319,0.96154,0.94131,0.35824,2.13951,0.72995,1.36002,0.000280723,0.000280723,0.000280723
86,1162.93,1.58597,0.71622,1.1042,0.94903,0.96154,0.94814,0.3675,2.12949,0.69567,1.37103,0.00026422,0.00026422,0.00026422
87,1178.61,1.63715,0.70795,1.11035,0.95002,0.96154,0.94753,0.38014,2.11833,0.68651,1.36773,0.000247716,0.000247716,0.000247716
88,1191.51,1.60192,0.7042,1.08547,0.95149,0.96154,0.95764,0.39829,2.13344,0.69547,1.36477,0.000231213,0.000231213,0.000231213
89,1204.5,1.62353,0.70954,1.09371,0.95402,0.96154,0.96522,0.40551,2.12192,0.70805,1.354,0.00021471,0.00021471,0.00021471
90,1217.31,1.53235,0.68127,1.04576,0.95332,0.96154,0.9701,0.40063,2.1122,0.70719,1.35086,0.000198206,0.000198206,0.000198206
91,1242.54,1.47505,0.68691,1.09492,0.94324,0.96154,0.96763,0.41574,2.13222,0.7256,1.36661,0.000181703,0.000181703,0.000181703
92,1255.8,1.50347,0.66767,1.11385,0.94298,0.96154,0.96186,0.41857,2.12188,0.75513,1.3733,0.0001652,0.0001652,0.0001652
93,1269.5,1.49937,0.67061,1.11576,0.94329,0.96154,0.96275,0.41957,2.1135,0.75302,1.36798,0.000148696,0.000148696,0.000148696
94,1283.91,1.47984,0.68124,1.10712,0.95109,0.96154,0.95879,0.44299,2.11273,0.74193,1.35113,0.000132193,0.000132193,0.000132193
95,1297.75,1.48324,0.66198,1.09859,0.95282,0.96154,0.945,0.43902,2.10072,0.74362,1.33805,0.00011569,0.00011569,0.00011569
96,1311.22,1.49599,0.65202,1.11938,0.95268,0.96154,0.945,0.43738,2.1052,0.72663,1.33548,9.91865e-05,9.91865e-05,9.91865e-05
97,1324.06,1.48468,0.68261,1.08198,0.94819,0.96154,0.945,0.4254,2.11102,0.72816,1.34693,8.26832e-05,8.26832e-05,8.26832e-05
98,1336.99,1.47479,0.63603,1.09599,0.94901,0.96154,0.95271,0.41532,2.1293,0.73221,1.35476,6.61799e-05,6.61799e-05,6.61799e-05
99,1349.85,1.46123,0.64877,1.1,0.95112,0.96154,0.945,0.40882,2.14286,0.73614,1.35532,4.96766e-05,4.96766e-05,4.96766e-05
100,1362.67,1.45931,0.64352,1.08193,0.95587,0.96154,0.945,0.39258,2.1553,0.73701,1.36603,3.31733e-05,3.31733e-05,3.31733e-05
